SN,Name ,Symbol ,Status ,Sector ,Instrument ,Email,Website
74,Shine Resunga Development Bank Ltd.,SHINE,Active,Development Banks,Equity,info@srdb.com.np,https://srdb.com.np/
75,Muktinath Bikas Bank Ltd.,MNBBL,Active,Development Banks,Equity,info@muktinathbank.com.np,
76,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,Active,Microfinance,Equity,bijay@fmdb.com.np,
77,Manjushree Finance Ltd.,MFIL,Active,Finance,Equity,info@manjushreefinance.com.np,manjushreefinance.com.np
78,Nepal Bank Limited,NBL,Active,Commercial Banks,Equity,suresh.ghimire@nepalbank.com.np,
79,Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Active,Microfinance,Equity,info@slbbl.com,
80,NLG Insurance Company Ltd.,NLG,Active,Non Life Insurance,Equity,manoj.shrestha@nlgi.com.np,
81,Sindhu Bikash Bank Ltd,SINDU,Active,Development Banks,Equity,info@sindhubank.com.np,
82,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Active,Microfinance,Equity,info@grameenbanknepal.com,http://www.grameenbanknepal.com
83,Reliance Finance Ltd.,RLFL,Active,Finance,Equity,samaj@reliancenepal.com.np,
84,Sanima Mai Hydropower Ltd.,SHPC,Active,Hydro Power,Equity,sanimamai@sanimahydro.com,www.maihydro.com
85,Naya Sarathi Laghubitta Bittiya Sanstha Limited,NSLB,Active,Microfinance,Equity,nimdilen@gmail.com,
86,Kalika Laghubitta Bittiya Sanstha Ltd,KMCDB,Active,Microfinance,Equity,info@kalikabank.com.np,
87,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Active,Microfinance,Equity,mlboperationdepart@gmail.com,http://www.mldbank.com.np
88,Ridi Power Company Limited,RIDI,Active,Hydro Power,Equity,alok.kc4@gmail.com,
89,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Active,Microfinance,Equity,prakash.sharma@laxmilaghu.com.np,
90,Mirmire Laghubitta Bittya Sanstha Limited,MMFDB,Active,Microfinance,Equity,info@mirmirebank.com.np,http://www.mirmirebank.com.np
91,Barun Hydropower Co. Ltd.,BARUN,Active,Hydro Power,Equity,barunhydro@gmail.com,
92,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Active,Microfinance,Equity,nsapkota@vlbs.com.np,
93,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Active,Microfinance,Equity,info@civillaghubitta.com.np,www.civillaghubitta.com.np
94,Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Active,Microfinance,Equity,nrnmfiho@gmail.com,
95,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,JSLBB,Active,Microfinance,Equity,info@jucbank.com.np,
96,Api Power Company Ltd.,API,Active,Hydro Power,Equity,srijanadangal@gmail.com,
97,NMB Microfinance Bittiya Sanstha Ltd.,NMBMF,Active,Microfinance,Equity,govinda.banstola@nmbmicrofinance.com,http://www.cleanvillage.com.np
98,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Active,Microfinance,Equity,kiran.rmfi@gmail.com,http://www.reliablebank.com.np
99,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,Active,Microfinance,Equity,womimf@gmail.com,
100,Global IME Samunnat Scheme-1,GIMES1,Active,Commercial Banks,Mutual Funds,nlisting@gibl.com.np,http://www.globalimebank.com
101,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Active,Microfinance,Equity,meromicrofinance@gmail.com,
102,Hydorelectricity Investment and Development Company Ltd,HIDCL,Active,Investment,Equity,jbasnet@hidcl.org.np,www.hidcl.org.np
103,Ngadi Group Power Ltd.,NGPL,Active,Hydro Power,Equity,nyadigroup06@gmail.com,
104,Green Development Bank Ltd.,GRDBL,Active,Development Banks,Equity,info@greenbank.com.np,
105,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Active,Microfinance,Equity,info@rsdcmf.com,
106,Khanikhola Hydropower Co. Ltd.,KKHC,Active,Hydro Power,Equity,khanikhola.hpc@gmail.com,
107,NMB Hybrid Fund L-1,NMBHF1,Active,Commercial Banks,Mutual Funds,pramod.dahal@nmb.com.np,http://www.nmb.com.np
108,Dibyashwori Hydropower Ltd.,DHPL,Active,Hydro Power,Equity,dibyashwarihydropower@gmail.com,
109,NIBL Pragati Fund,NIBLPF,Active,Commercial Banks,Mutual Funds,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np
110,Arun Kabeli Power Ltd.,AKPL,Active,Hydro Power,Equity,info@arunkabeli.com,
111,Forward Microfinance Laghubitta Bittiya Sanstha Limited,FOWAD,Active,Microfinance,Equity,krishna@forward.org.np,
112,Synergy Power Development Ltd.,SPDL,Active,Hydro Power,Equity,email.synergy@gmail.com,www.synergyhydro.com
113,United Modi Hydropower Ltd.,UMHL,Active,Hydro Power,Equity,navaraj.advocate@gmail.com,
114,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Active,Microfinance,Equity,samata@samata.org.np,
115,Laxmi Equity Fund,LEMF,Active,Commercial Banks,Mutual Funds,piyush.aryal@laxmibank.com,
116,Chhyangdi Hydropower Ltd.,CHL,Active,Hydro Power,Equity,chhyangdihydropowerltd@gmail.com,
117,Himalayan Power Partner Ltd.,HPPL,Active,Hydro Power,Equity,hpphydro.binaya@gmail.com,http://www.hpp.com.np
118,Mahuli Laghubitta Bittiya Sanstha Limited,MSLB,Active,Microfinance,Equity,saroj.singh@mslbsl.com.np,
119,Nepal Hydro Developers Ltd.,NHDL,Active,Hydro Power,Equity,info@charnawathihydro.com,
120,Siddhartha Equity Fund,SEF,Active,Commercial Banks,Mutual Funds,laxman.ghimire@sbl.com.np,
121,Support Microfinance Bittiya Sanstha Ltd.,SMB,Active,Microfinance,Equity,smicrofinance@gmail.com,
122,Sanima Equity Fund,SAEF,Active,Commercial Banks,Mutual Funds,sanima@sanimageneral.com,
123,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Active,Microfinance,Equity,prem.pathak@unnatimfi.com.np,http://www.unnatimfi.com.np
124,Radhi Bidyut Company Ltd,RADHI,Active,Hydro Power,Equity,info@radhibidyut.com.np,
125,NIC Asia Growth Fund,NICGF,Active,Commercial Banks,Mutual Funds,nica.nots@nicasiabank.com,
126,Citizens Mutual Fund -1,CMF1,Active,Commercial Banks,Mutual Funds,rajendra.shrestha@ctznbank.com,
127,Wean Nepal Laghubitta Bittiya Sanstha Limited,WNLB,Active,Microfinance,Equity,nepalseva@gmail.com,
128,Panchakanya Mai Hydropower Ltd,PMHPL,Active,Hydro Power,Equity,panchakanyamai@gmail.com,
129,Kalika power Company Ltd,KPCL,Active,Hydro Power,Equity,daraudikalikahydro@gmail.com,
130,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Active,Hydro Power,Equity,ankhukhola@yahoo.com,www.aankhukholahydropower.com.np
131,Joshi Hydropower Development Company Ltd,JOSHI,Active,Hydro Power,Equity,info@joshihydropower.com,www.joshihydropower.com
132,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Active,Microfinance,Equity,aarambhachautari@gmail.com,www.chautarimfb.com
133,Upper Tamakoshi Hydropower Ltd,UPPER,Active,Hydro Power,Equity,neautp@mos.com.np,www.tamakhosihydro.org.np
134,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Active,Microfinance,Equity,samudayikbank@gmail.com,www.samudayikbank.com.np
135,Ghalemdi Hydro Limited,GHL,Active,Hydro Power,Equity,relinarenergy@gmail.com,www.ghalemdihydro.com
136,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Active,Microfinance,Equity,ashamicrofinance@gmail.com,www.ashamicrofinance.com.np
137,SHIVAM CEMENTS LTD,SHIVM,Active,Manufacturing And Processing,Equity,info@shivamcement.com,www.shivamcement.com
138,UNIVERSAL POWER COMPANY LTD,UPCL,Active,Hydro Power,Equity,universal2067@gmail.com,www.universalpowercompany.com.np
139,Mountain Hydro Nepal Limited,MHNL,Active,Hydro Power,Equity,mountainhydronepal@gmail.com,www.mountainhydronepal.com.np
140,Panchthar Power Compant Limited,PPCL,Active,Hydro Power,Equity,ppchewa@gmail.com,www.ppcl.com.np
141,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,Active,Microfinance,Equity,info@ganapatimicro.com.np,www.ganapatimicro.com.np
142,Himalaya Urja Bikas Company Limited,HURJA,Active,Hydro Power,Equity,himalayaurja@gmail.com,www.himalurja.com
143,10% NIC Asia Debenture 2085/86,NICAD 85/86,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
144,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Active,Microfinance,Equity,guranslbbs@gmail.com,www.guranslaghubitta.com.np
145,10% Sanima Bank Limited Debenture,SAND2085,Active,Commercial Banks,Non-Convertible Debentures,sanima@sanimageneral.com,
146,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Active,Microfinance,Equity,swabhimaansmbsl@gmail.com,www.swabhimaanmicrofinance.com
147,Union Hydropower Limited,UNHPL,Active,Hydro Power,Equity,unionhppl@gmail.com,www.unionhydropower.com.np
148,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Active,Microfinance,Equity,ilbslfinance@gmail.com,www.infinitymbsl.com
149,10% Sunrise Debenture 2080,SRD80,Active,Commercial Banks,Non-Convertible Debentures,info@sunrisebank.com.np,
150,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,Active,Commercial Banks,Non-Convertible Debentures,nlisting@gibl.com.np,http://www.globalimebank.com
151,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Active,Hydro Power,Equity,rghpcl@gmail.com,www.rghpcl.com.np
152,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Active,Hydro Power,Equity,sanjenhcl@gmail.com,www.sjcl.com.np
153,Sabaiko Laghubitta Bittiya Sanstha Limited,SABSL,Active,Microfinance,Equity,info@sabaikolaghubitta.com,www.sabaikolaghubitta.com
154,10 % NMB DEBENTURE 2085,NMBD2085,Active,Commercial Banks,Non-Convertible Debentures,pramod.dahal@nmb.com.np,http://www.nmb.com.np
155,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,Active,Commercial Banks,Non-Convertible Debentures,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np
156,10.25% NBBL Debenture 2085,NBBD2085,Active,Commercial Banks,Non-Convertible Debentures,bishwapoudel@nbbl.com.np,
157,Siddhartha Investment Growth Scheme - 2,SIGS2,Active,Commercial Banks,Mutual Funds,laxman.ghimire@sbl.com.np,
158,Saptakoshi Development Bank Ltd,SAPDBL,Active,Development Banks,Equity,info@skdbl.com.np,www.skdbl.com.np
159,CITIZENS MUTUAL FUND 2,CMF2,Active,Mutual Fund,Mutual Funds,info@cbilcapital.com,www.cbilcapital.com
160,NIC Asia Balanced Fund,NICBF,Active,Mutual Fund,Mutual Funds,info@nicasiacapital.com,www.nicasiacapital.com
161,10.25% SBL Debenture 2083,SBLD83,Active,Commercial Banks,Non-Convertible Debentures,laxman.ghimire@sbl.com.np,
162,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,Active,Commercial Banks,Non-Convertible Debentures,machbank@mbl.com.np,http://www.machbank.com
163,NMB 50,NMB50,Active,Mutual Fund,Mutual Funds,mutualfunds@nmbcl.com.np,www.nmbcl.com.np
164,10.25% NIC Asia Debenture 2083/84,NICD83/84,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
165,11% NIC Asia Debenture 082/83,NICAD8283,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
166,8% BOK Debenture 2079,BOKD2079,Active,Commercial Banks,Non-Convertible Debentures,deepak.gautam@bok.com.np,
167,10.50% SBL Debenture 2082,SBLD2082,Active,Commercial Banks,Non-Convertible Debentures,laxman.ghimire@sbl.com.np,
168,10% Himalayan Bank Debenture 2083,HBLD83,Active,Commercial Banks,Non-Convertible Debentures,legal@himalayanbank.com,
169,10.25% Prabhu Bank Debenture 2086,PBLD86,Active,Commercial Banks,Non-Convertible Debentures,amit.bhandari@prabhubank.com,
170,Sunrise First Mutual Fund,SFMF,Active,Commercial Banks,Mutual Funds,info@sunrisebank.com.np,
171,10.25% Sunrise Bank Debenture 2083,SRBLD83,Active,Commercial Banks,Non-Convertible Debentures,info@sunrisebank.com.np,
172,10% Laxmi Bank Debenture 2086,LBLD86,Active,Commercial Banks,Non-Convertible Debentures,piyush.aryal@laxmibank.com,
173,Himal Dolakha Hydropower Company Limited,HDHPC,Active,Hydro Power,Equity,hdhp@wlink.com.np,www.himaldolakhahydro.com
174,Nepal Reinsurance Company Limited,NRIC,Active,Others,Equity,nepalre@ntc.net.np,www.nepalre.com.np
175,12% ICFC Finance Limited Debenture 2083,ICFCD83,Active,Finance,Non-Convertible Debentures,nepsereport@icfcbank.com,www.icfcbank.com
176,12 % Goodwill Finance Limited Debenture 2083,GWFD83,Active,Finance,Non-Convertible Debentures,gfcl@gfcl.com,
177,10.25% KBL Debenture 2086,KBLD86,Active,Commercial Banks,Non-Convertible Debentures,info@kumaribank.com,http://www.kumaribank.com
178,10.35% Agricultural Bank Debenture 2083,ADBLD83,Active,Commercial Banks,Non-Convertible Debentures,cs@adbl.gov.np,
179,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Active,Microfinance,Equity,prahlad.niraula@nicasiabank.com,www.nicasialaghubitta.com
180,10.25% Citizens Bank Debenture 2086,CIZBD86,Active,Commercial Banks,Non-Convertible Debentures,rajendra.shrestha@ctznbank.com,
181,10% Nepal SBI Bank Debenture 2086,SBIBD86,Active,Commercial Banks,Non-Convertible Debentures,cs@nsbl.com.np,https://nsbl.statebank
182,10% Nabil Debenture 2082,NBLD82,Active,Commercial Banks,Non-Convertible Debentures,rajesh.bogati@nabilbank.com,
183,9% NIC Asia Debenture 2081/82,NICAD8182,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
184,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Active,Microfinance,Equity,resham.sadhana@gmail.com,www.sadhanlaghubitta.com.np
185,NRN Infrastructure and Development Limited,NRN,Active,Investment,Equity,nrninvestmentltd@gmail.com,www.nrinl.com
186,Laxmi Unnati Kosh,LUK,Active,Mutual Fund,Mutual Funds,info@laxmicapital.com.np,www.laxmicapital.com.np
187,Liberty Energy Company Limited,LEC,Active,Hydro Power,Equity,liberty@libertyenergy.com.np,www.libertyenergy.com.np
188,10% Prabhu Bank Debenture 2084,PBLD84,Active,Commercial Banks,Non-Convertible Debentures,amit.bhandari@prabhubank.com,
189,Shiva Shree Hydropower Ltd,SSHL,Active,Hydro Power,Equity,shivashreehydropowerltd@gmail.com,www.shivashreehdyro.com
190,8.5% SBL Debenture 2084,SBLD84,Active,Commercial Banks,Non-Convertible Debentures,laxman.ghimire@sbl.com.np,
191,Mountain Energy Nepal Limited,MEN,Active,Hydro Power,Equity,rajendra.sharma@mountainenergy.com.np,www.mountainenergy.com.np
192,United IDI Mardi RB Hydropower Limited.,UMRH,Active,Hydro Power,Equity,unitedidimardi7mw@gmail.com,www.idimardihydro.com.np
193,Chandragiri Hills Limited,CGH,Active,Hotels And Tourism,Equity,jhalak.sharma@chandragirihills.com,www.chandragirihills.com
194,Nepal Infrastructure Bank Limited,NIFRA,Active,Investment,Equity,iswor.gautam@nifrabank.com,https://www.nifrabank.com
195,8.5% Sanima Debenture 2087,SBD87,Active,Commercial Banks,Non-Convertible Debentures,sanima@sanimageneral.com,
196,Sanima Large Cap Fund,SLCF,Active,Commercial Banks,Mutual Funds,sanima@sanimageneral.com,
197,GreenLife Hydropower Limited,GLH,Active,Hydro Power,Equity,info@greenlifehydropower.com.np,www.greenlifehydropower.com.np
198,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Active,Microfinance,Equity,mlbsl.nepal@gmail.com,www.mlbsl.com.np
199,8.5% Nepal Investment Bank Debenture 2084,NIBD84,Active,Commercial Banks,Non-Convertible Debentures,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np
200,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,Active,Finance,Non-Convertible Debentures,info@manjushreefinance.com.np,manjushreefinance.com.np
201,Kumari Equity Fund,KEF,Active,Commercial Banks,Mutual Funds,info@kumaribank.com,http://www.kumaribank.com
202,Singati Hydro Energy Limited,SHEL,Active,Hydro Power,Equity,shehydro@gmail.com,www.singatihydro.com
203,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Active,Hydro Power,Equity,contact@ruruhydro.com,www.ruruhydro.com
204,9.5% NCC Debenture 2086,NCCD86,Active,Commercial Banks,Non-Convertible Debentures,corporate@nccbank.com.np,http://www.nccbank.com.np
205,Sunrise Bluechip Fund,SBCF,Active,Commercial Banks,Mutual Funds,info@sunrisebank.com.np,
206,CEDB Hydropower Development Company Limited,CHDC,Active,Investment,Equity,chf@chf.com.np,www.chdc.com.np
207,Prabhu Select Fund,PSF,Active,Commercial Banks,Mutual Funds,amit.bhandari@prabhubank.com,
208,9% Kamana Sewa Bikas Bank Limited Debenture 2087,KSBBLD87,Active,Development Banks,Non-Convertible Debentures,cs@kamanasewabank.com,
209,NIBL Samriddhi Fund -2,NIBSF2,Active,Commercial Banks,Mutual Funds,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np
210,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,JBLB,Active,Microfinance,Equity,info@jeevanbikasmf.com,www.jeevanbikasmf.com
211,Manakamana Smart Laghubitta Bittiya Sanstha Limited,MKLB,Active,Microfinance,Equity,manakamanalbs@gmail.com,www.manakamanalbs.com
212,8.5% Nepal Bank Debenture 2087,NBLD87,Active,Commercial Banks,Non-Convertible Debentures,suresh.ghimire@nepalbank.com.np,
213,4% Agricultural Bond,ADBLB,Active,Commercial Banks,Non-Convertible Debentures,cs@adbl.gov.np,
214,8.5% BOK Debenture 2086,BOKD86,Active,Commercial Banks,Non-Convertible Debentures,deepak.gautam@bok.com.np,
215,8.5% Prabhu Bank Debenture 2087,PBLD87,Active,Commercial Banks,Non-Convertible Debentures,amit.bhandari@prabhubank.com,
216,NMB Debenture 8.50% - 2087/88,NMBD87/88,Active,Commercial Banks,Non-Convertible Debentures,pramod.dahal@nmb.com.np,http://www.nmb.com.np
217,NMB Energy Bond 4% - 2092/93,NMBEB92/93,Active,Commercial Banks,Non-Convertible Debentures,pramod.dahal@nmb.com.np,http://www.nmb.com.np
218,NIC Asia Select Fund 30,NICSF,Active,Mutual Fund,Mutual Funds,info@nicasiacapital.com,www.nicasiacapital.com
219,RBB Mutual Fund 1,RMF1,Active,Mutual Fund,Mutual Funds,rbbmbl@rbbmbl.com.np,www.rbbmbl.com.np
220,Muktinath Debenture 2084/85,MND84/85,Active,Development Banks,Non-Convertible Debentures,info@muktinathbank.com.np,
221,8.5% Laxmi Bank Debenture 2088,LBLD88,Active,Commercial Banks,Non-Convertible Debentures,piyush.aryal@laxmibank.com,
222,8.75 % Prime Debenture 2085,PBD85,Active,Commercial Banks,Non-Convertible Debentures,CS@pcbl.com.np,
223,Shangri-la Development Bank Debenture 2087,SDBD87,Active,Development Banks,Non-Convertible Debentures,info@shangrilabank.com,
224,8.5% Machhapuchchhre Debenture 2087,MBLD87,Active,Commercial Banks,Non-Convertible Debentures,machbank@mbl.com.np,http://www.machbank.com
225,NIC ASIA Rinpatra 2088,NICD88,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
226,8.5% RBBL Debenture 2083,RBBD83,Active,Commercial Banks,Non-Convertible Debentures,info.rbb@rbb.com.np,www.rbb.com.np
227,Global IME Bank Limited Debenture 2086/87,GBILD86/87,Active,Commercial Banks,Non-Convertible Debentures,nlisting@gibl.com.np,http://www.globalimebank.com
